Date,Day,Forecast_Sales,Actual_Sales,Diff_Pct,BOH_Sug,BOH_Real,FOH_Sug,FOH_Real,Peak_Hour,Weather
2025-01-03,Thu,18924.45,18843.00,-0.43%,9,11,5,0,18:00,Normal
2025-01-21,Mon,12461.83,12594.70,1.05%,6,7,4,0,18:00,Normal
2025-01-24,Thu,19280.39,19213.14,-0.35%,7,10,4,0,20:00,Normal
2025-01-30,Wed,13765.36,14564.84,5.49%,6,7,4,0,20:00,Normal
2025-02-02,Sat,17125.56,17516.15,2.23%,8,9,4,0,17:00,Normal
2025-02-05,Tue,13151.73,13656.51,3.70%,6,7,4,0,19:00,Normal
2025-02-10,Sun,12696.33,12883.11,1.45%,7,7,4,0,19:00,Normal
2025-02-16,Sat,18753.38,18565.28,-1.01%,10,11,5,0,19:00,Normal
2025-02-17,Sun,13460.86,13248.88,-1.60%,6,8,4,0,18:00,Normal
2025-02-20,Wed,14851.41,15533.89,4.39%,7,8,4,0,18:00,Normal
2025-03-11,Mon,12081.77,12665.97,4.61%,4,7,3,3,17:00,Normal
2025-03-11,Mon,12081.77,12665.97,4.61%,4,7,3,3,17:00,Normal
2025-03-25,Mon,13342.26,13153.60,-1.43%,6,7,4,5,20:00,Normal
2025-04-15,Mon,13651.60,13068.76,-4.46%,7,6,2,4,21:00,Normal
2025-04-16,Tue,12473.06,14048.65,11.22%,5,8,2,5,20:00,Normal
2025-04-19,Fri,20210.26,24564.08,17.72%,7,13,3,6,22:00,Normal
2025-04-25,Thu,19401.97,19749.93,1.76%,7,11,3,6,19:00,Normal
2025-04-27,Sat,18354.34,17426.29,-5.33%,9,9,3,5,19:00,Normal
2025-05-07,Tue,13243.12,13479.81,1.76%,6,6,2,4,21:00,Normal
2025-05-07,Tue,13243.12,13479.81,1.76%,6,6,2,4,21:00,Normal
2025-05-26,Sun,14395.48,13437.52,-7.13%,8,8,2,4,20:00,Normal
2025-06-18,Tue,12926.80,12545.83,-3.04%,7,8,2,5,21:00,Normal
2025-06-22,Sat,18455.37,16606.92,-11.13%,9,7,3,4,21:00,Normal
2025-09-07,Sat,19514.58,18169.99,-7.40%,10,9,3,5,20:00,Normal
2025-09-26,Thu,19027.61,17325.94,-9.82%,9,9,3,5,19:00,Normal
2025-10-16,Wed,14911.50,13403.28,-11.25%,7,6,2,4,19:00,Normal
2025-10-19,Sat,18581.07,17243.29,-7.76%,10,10,3,5,19:00,Normal
2025-11-06,Wed,15094.48,14197.13,-6.32%,8,7,2,4,18:00,Normal
2025-12-19,Thu,21127.96,22597.60,6.50%,9,10,3,6,19:00,Normal
2025-12-24,Tue,5508.90,6415.41,14.13%,4,8,1,4,14:00,Normal

,,,,,AVERAGE METRICS,,,,
,,,,,Sales Error: 5.36%,BOH Miss: 1.50,,FOH Miss: 2.73,,
